User_ID,Lessons_Per_Week,Avg_Time_Per_Lesson,Streaks,Quiz_Scores,Dropped_Off
User_1,1.45,1.19,9,13,1
User_2,3.29,1.7,20,19,1
User_3,6.75,0.22,4,46,1
User_4,3.72,0.4,4,19,0
User_5,12.0,0.23,18,71,0
User_6,16.67,0.44,1,75,0
User_7,9.5,0.46,3,97,0
User_8,1.4,8.57,5,28,0
User_9,2.11,2.58,21,42,1
User_10,2.18,1.5,3,1,1
User_11,5.33,1.53,13,59,1
User_12,6.25,0.73,19,92,1
User_13,8.67,0.69,24,74,0
User_14,2.72,0.8,26,42,1
User_15,12.5,0.6,9,85,1
User_16,13.0,0.6,1,74,0
User_17,5.6,0.68,11,17,1
User_18,1.5,1.13,10,33,1
User_19,2.45,0.53,17,89,0
User_20,3.0,1.67,12,24,0
User_21,0.35,9.83,29,1,0
User_22,3.85,0.7,13,84,0
User_23,8.64,0.61,6,92,0
User_24,1.92,2.35,23,30,1
User_25,8.73,0.42,6,83,0
User_26,5.93,0.07,10,49,0
User_27,6.79,0.24,2,19,1
User_28,3.75,1.2,21,22,1
User_29,5.12,0.57,18,96,0
User_30,3.05,0.47,26,92,0
User_31,0.85,1.24,1,34,1
User_32,3.15,0.73,11,45,1
User_33,4.08,0.21,14,3,0
User_34,12.57,0.64,14,92,0
User_35,20.5,0.54,11,85,1
User_36,81.0,0.1,7,84,0
User_37,8.18,0.58,2,90,1
User_38,21.5,0.24,2,97,1
User_39,22.67,0.35,3,84,0
User_40,1.45,3.0,10,59,1
User_41,6.36,0.3,22,88,0
User_42,3.68,0.54,13,51,1
User_43,0.37,5.29,7,3,1
User_44,0.11,14.5,1,38,1
User_45,0.32,6.33,19,39,1
User_46,2.67,1.38,24,16,1
User_47,4.33,0.35,24,27,1
User_48,7.46,0.42,22,91,0
User_49,7.67,0.71,18,88,0
User_50,7.22,0.86,13,71,0
User_51,6.71,0.6,27,1,0
User_52,9.14,0.61,10,98,0
User_53,21.0,0.65,22,73,0
User_54,17.0,0.39,13,85,0
User_55,13.29,0.65,22,90,1
User_56,1.0,19.0,28,38,1
User_57,10.6,0.53,26,83,1
User_58,17.2,0.15,12,96,0
User_59,13.33,1.1,9,71,1
User_60,8.33,0.08,18,84,1
User_61,7.83,0.26,18,97,0
User_62,3.83,0.83,28,5,1
User_63,3.7,0.23,5,30,0
User_64,3.7,0.47,14,83,1
User_65,21.33,0.34,14,79,0
User_66,5.5,0.18,1,87,1
User_67,1.69,0.22,22,37,0
User_68,2.62,0.56,30,46,0
User_69,8.25,0.86,30,71,0
User_70,3.14,1.45,29,54,0
User_71,9.09,0.1,4,82,0
User_72,2.0,2.44,10,26,1
User_73,1.75,0.61,15,77,0
User_74,8.73,0.21,14,94,0
User_75,9.5,0.74,6,99,0
User_76,7.17,1.3,15,35,0
User_77,3.67,1.18,27,20,1
User_78,6.64,0.79,7,68,1
User_79,3.21,0.69,2,14,0
User_80,6.4,1.06,5,57,1
User_81,0.76,3.0,27,55,0
User_82,1.43,1.15,19,38,0
User_83,6.25,0.57,30,63,1
User_84,0.06,5.0,15,0,0
User_85,13.25,0.77,8,100,0
User_86,5.0,0.95,16,36,1
User_87,7.0,0.45,23,58,1
User_88,4.19,0.9,21,15,0
User_89,5.12,0.61,21,67,1
User_90,1.0,1.7,23,20,1
User_91,9.67,0.63,4,93,0
User_92,1.29,5.11,9,17,1
User_93,0.47,4.67,15,36,1
User_94,2.67,1.23,1,44,1
User_95,1.71,0.5,6,21,0
User_96,1.19,0.47,21,91,0
User_97,1.33,14.75,28,16,1
User_98,10.0,0.37,28,70,0
User_99,0.11,25.0,21,48,1
User_100,3.6,0.39,14,12,0
User_101,9.43,1.08,5,26,1
User_102,23.77,10.65,18,35,0
User_103,18.33,10.84,28,28,0
User_104,15.01,12.77,10,37,0
User_105,3.98,14.54,29,52,1
User_106,3.98,19.52,22,25,0
User_107,1.55,10.35,21,3,1
User_108,21.67,6.49,6,54,0
User_109,15.07,15.91,1,32,0
User_110,17.73,5.45,5,67,0
User_111,0.61,8.81,9,59,0
User_112,24.25,1.62,12,65,1
User_113,20.83,0.56,26,95,0
User_114,5.39,19.25,14,34,1
User_115,4.63,16.73,2,40,0
User_116,4.67,13.93,17,28,1
User_117,7.68,8.21,14,37,0
User_118,13.17,3.51,26,12,1
User_119,10.86,3.17,13,30,1
User_120,7.35,5.04,27,46,0
User_121,15.34,11.01,9,99,0
User_122,3.57,14.31,26,41,1
User_123,7.37,13.22,25,51,1
User_124,9.22,5.63,15,55,0
User_125,11.46,19.1,25,14,1
User_126,19.65,14.77,22,28,1
User_127,5.07,11.11,15,55,1
User_128,12.9,12.25,24,4,1
User_129,14.85,8.42,30,28,1
User_130,1.26,4.99,11,0,1
User_131,15.23,7.15,16,67,0
User_132,4.35,15.17,29,59,0
User_133,1.72,0.34,17,44,1
User_134,23.73,2.37,26,1,1
User_135,24.14,0.97,4,76,0
User_136,20.23,0.86,1,79,0
User_137,7.68,17.12,8,35,1
User_138,2.53,14.09,17,57,1
User_139,17.14,9.51,3,25,0
User_140,11.06,2.0,29,42,0
User_141,3.14,9.86,20,20,1
User_142,12.43,9.5,15,68,0
User_143,0.96,3.51,15,10,1
User_144,22.74,8.71,24,10,0
User_145,6.54,8.0,22,33,0
